antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,rule_str
frozenset({'HERB MARKER THYME'}),frozenset({'HERB MARKER ROSEMARY'}),0.010753334134326565,0.010873483119067644,0.01015258921062117,0.9441340782122905,86.82903793326953,1.0,0.010035663013437876,17.705364652168672,0.9992281496829053,0.8848167539267016,0.9435199432688605,0.938917867835427,HERB MARKER THYME,HERB MARKER ROSEMARY,HERB MARKER THYME → HERB MARKER ROSEMARY
frozenset({'HERB MARKER ROSEMARY'}),frozenset({'HERB MARKER THYME'}),0.010873483119067644,0.010753334134326565,0.01015258921062117,0.9337016574585635,86.82903793326953,1.0,0.010035663013437876,14.921137210140563,0.9993495257108048,0.8848167539267016,0.9329809795381823,0.938917867835427,HERB MARKER ROSEMARY,HERB MARKER THYME,HERB MARKER ROSEMARY → HERB MARKER THYME
frozenset({'REGENCY TEA PLATE GREEN '}),frozenset({'REGENCY TEA PLATE ROSES '}),0.01363690976811246,0.0159798149705635,0.011534302535143579,0.8458149779735683,52.93021099003014,1.0,0.011316387240278872,6.382073771476632,0.9946714426375948,0.637873754152824,0.8433111186415151,0.7838097446258818,REGENCY TEA PLATE GREEN ,REGENCY TEA PLATE ROSES ,REGENCY TEA PLATE GREEN  → REGENCY TEA PLATE ROSES 
frozenset({'REGENCY TEA PLATE ROSES '}),frozenset({'REGENCY TEA PLATE GREEN '}),0.0159798149705635,0.01363690976811246,0.011534302535143579,0.7218045112781954,52.93021099003013,1.0,0.011316387240278872,3.5455754324551627,0.997039707977208,0.637873754152824,0.7179583345354066,0.7838097446258818,REGENCY TEA PLATE ROSES ,REGENCY TEA PLATE GREEN ,REGENCY TEA PLATE ROSES  → REGENCY TEA PLATE GREEN 
"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM ""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM ""})",0.012555568905442748,0.015619368016340262,0.01015258921062117,0.8086124401913876,51.76985645933014,1.0,0.009956479159232541,5.143388802114623,0.9931533454074064,0.5633333333333334,0.8055756547922518,0.7293062200956937,POPPY'S PLAYHOUSE LIVINGROOM ,POPPY'S PLAYHOUSE BEDROOM ,POPPY'S PLAYHOUSE LIVINGROOM  → POPPY'S PLAYHOUSE BEDROOM 
"frozenset({""POPPY'S PLAYHOUSE BEDROOM ""})","frozenset({""POPPY'S PLAYHOUSE LIVINGROOM ""})",0.015619368016340262,0.012555568905442748,0.01015258921062117,0.6499999999999999,51.76985645933014,1.0,0.009956479159232541,2.8212698031273056,0.9962444488259207,0.5633333333333334,0.645549674514814,0.7293062200956937,POPPY'S PLAYHOUSE BEDROOM ,POPPY'S PLAYHOUSE LIVINGROOM ,POPPY'S PLAYHOUSE BEDROOM  → POPPY'S PLAYHOUSE LIVINGROOM 
frozenset({'SET OF 3 WOODEN STOCKING DECORATION'}),frozenset({'SET OF 3 WOODEN TREE DECORATIONS'}),0.014958548600264328,0.013757058752853539,0.01033281268773279,0.6907630522088354,50.21153610073482,1.0,0.010127027055781538,3.1892791216953182,0.9949675280929156,0.562091503267974,0.6864495198311673,0.720927377632802,SET OF 3 WOODEN STOCKING DECORATION,SET OF 3 WOODEN TREE DECORATIONS,SET OF 3 WOODEN STOCKING DECORATION → SET OF 3 WOODEN TREE DECORATIONS
frozenset({'SET OF 3 WOODEN TREE DECORATIONS'}),frozenset({'SET OF 3 WOODEN STOCKING DECORATION'}),0.013757058752853539,0.014958548600264328,0.01033281268773279,0.7510917030567685,50.21153610073481,1.0,0.010127027055781538,3.9574472345708673,0.993755409523027,0.562091503267974,0.747311855161491,0.720927377632802,SET OF 3 WOODEN TREE DECORATIONS,SET OF 3 WOODEN STOCKING DECORATION,SET OF 3 WOODEN TREE DECORATIONS → SET OF 3 WOODEN STOCKING DECORATION
"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM ""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",0.012555568905442748,0.017301453802715368,0.010693259641956025,0.8516746411483254,49.22561137692716,1.0,0.010476030046571697,6.625290198555887,0.9921422824499126,0.5579937304075234,0.8490632153414246,0.7348650983519405,POPPY'S PLAYHOUSE LIVINGROOM ,POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE LIVINGROOM  → POPPY'S PLAYHOUSE KITCHEN
"frozenset({""POPPY'S PLAYHOUSE KITCHEN""})","frozenset({""POPPY'S PLAYHOUSE LIVINGROOM ""})",0.017301453802715368,0.012555568905442748,0.010693259641956025,0.6180555555555555,49.22561137692716,1.0,0.010476030046571697,2.5853090559566585,0.9969337753166164,0.5579937304075234,0.6131990495697376,0.7348650983519405,POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE LIVINGROOM ,POPPY'S PLAYHOUSE KITCHEN → POPPY'S PLAYHOUSE LIVINGROOM 
